Pattern,Count,Complexity,Sheets,Functions,Example Formula,Implementation Status,Priority
"=CELL",2230,Simple,Earth; Mars,,"=O153",Implemented,P0
"=CELL*CELL",908,Simple,Earth; Mars,,"=B7*B8",Implemented,P0
"=SUM(CELL:CELL)",401,Medium,Earth; Mars,SUM,"=SUM(I20:I21)",Partial,P0
"=CELL/CELL",380,Simple,Earth; Mars,,"=O408/$I$408",Implemented,P0
"SHEET!CELL",367,Medium,Earth; Valuation Outputs; Mars,MIN,"=Mars!K54+Mars!K8-Mars!K27",Not Implemented,P0
"=CELL+CELL",348,Simple,Earth; Mars,,"=B9+B10",Implemented,P0
"=IF(CELL=STR,CELL,CELL)",312,Medium,Earth,IF,"=IF(J245=""Starlink Constellation Complete"",J267,J398)",Partial,P0
"=CELL-CELL",183,Simple,Earth; Mars,,"=J86-J87",Implemented,P0
"=IF(CELL=STR,CELL,NUM)",130,Medium,Earth; Mars,IF,"=IF(J264=""No"",J270,0)",Partial,P0
"=IF(CELL=STR,NUM,CELL)",104,Medium,Earth,IF,"=IF(J245=""Launch"",0,J431)",Partial,P0
"=IF(CELL=STR,CELL-CELL,NUM)",104,Medium,Earth,IF,"=IF(J275=""No"",J273-J247,0)",Partial,P0
"=IFERROR(CELL*(CELL/CELL),NUM)",104,Medium,Earth,OR, IFERROR,"=IFERROR(J298*(J290/J292),0)",Not Implemented,P0
"=(CELL+CELL)*CELL",81,Medium,Earth,,"=(I47+I55)*I65",Not Implemented,P1
"=CELL*CELL*CELL",80,Medium,Earth,,"=I48*I65*$B$70",Not Implemented,P1
"=NUM-CELL",80,Simple,Earth; Mars,,"=1-I128",Implemented,P1
"=CELL+(CELL/CELL)",78,Medium,Earth,,"=I171+(J189/J174)",Not Implemented,P1
"=IF(CELL>CELL,STR,STR)",78,Medium,Earth,IF,"=IF($B$234>J16,""Falcon 9"",""Starship"")",Partial,P1
"=MIN(CELL,CELL)",78,Medium,Earth,MIN,"=MIN(J341,J345)",Not Implemented,P1
"=INDEX(CELL:CELL,MATCH(CELL-CELL,CELL:CELL))",78,Medium,Earth,INDEX, MATCH,"=INDEX($E$428:J$428,MATCH(J410-$B411,$E$410:J$410))",Not Implemented,P1
"=CELL+NUM",76,Simple,Mars; Earth,,"=K6+1",Implemented,P1
"=CELL*(NUM-CELL)",76,Simple,Earth; Mars,,"=J329*(1-J331)",Implemented,P1
"=(CELL*CELL)",57,Simple,Earth,,"=(J249*J250)",Implemented,P1
"=CELL+CELL+CELL+CELL",54,Medium,Earth,,"=I35+I36+I37+I38",Not Implemented,P1
"=SUM(CELL:CELL,CELL)",54,Medium,Earth,SUM,"=SUM(I47:I48,I55)",Partial,P1
"=CELL/(NUM-CELL)",54,Simple,Earth,,"=I127/(1-I106)",Implemented,P1
"=(CELL+CELL)/CELL",54,Medium,Earth,,"=(I130+I159)/I65",Not Implemented,P1
"=CELL-CELL-CELL",54,Medium,Earth,,"=I119-I144-I152",Not Implemented,P1
